item,amount,room,details
сингулярный кресло,9,5338,у доски
магнитный стол,18,1928,на подоконнике
сломанный стул-неврастеник,1,4937,на подоконнике
университетский забытый бутерброд,20,1891,под столом
депрессивный ноутбук-призрак,8,4697,в коробке на подоконнике
сингулярный робот-ассистент,6,4927,
интерактивный пакет загадок,5,3562,у доски
антикварный кресло,13,2857,на подоконнике
интерактивный кабель HDMI-невидимка,2,3040,
магнитный микрофон-невидимка,13,3863,на подоконнике
параллельный учебник по квантовой философии,19,4622,у доски
резиновый доска,10,669,на подоконнике
оптимистичный кресло,9,2007,в коробке на подоконнике
шумящий кабель HDMI-невидимка,12,5307,рядом с розеткой
интерактивный дрон наблюдения за лекцией,3,1816,на кафедре
резиновый лампа,6,5301,в коробке на подоконнике
резиновый робот-ассистент,11,3208,под столом
самообновляющийся доска,13,1976,в углу аудитории
самообновляющийся ноутбук-призрак,7,642,за занавеской
хаотический кофеварка кафедры,5,4189,в углу аудитории
интерактивный забытый бутерброд,19,1243,под потолком
параллельный кофеварка кафедры,8,4880,в шкафу
антикварный пульт управления хаосом,2,4274,на подоконнике
шумящий пылесос для мыслей,14,1352,на кафедре
оптимистичный кофеварка кафедры,20,620,в коробке на подоконнике
сингулярный робот-ассистент,4,4434,за занавеской
самообновляющийся робот-ассистент,4,4498,в углу аудитории
хаотический лампа,1,3661,
шумящий коробка с голосами,17,2257,на подоконнике
университетский учебник по квантовой философии,20,5222,у доски
шумящий кабель HDMI-невидимка,18,1352,внутри вентиляции
самообновляющийся соковыжималка идей,16,104,под столом
голографический кабель HDMI-невидимка,8,1016,под столом
антикварный бутылка времени,3,2073,
квантовый маркер,5,4081,за занавеской
шумящий микрофон-невидимка,9,3993,внутри вентиляции
забытый стул-неврастеник,18,5069,
голографический энергетический кристалл (почти работает),13,1747,за занавеской
университетский плакат мотивации,15,3159,на подоконнике
антикварный забытый бутерброд,11,2130,под столом
резиновый микрофон-невидимка,19,4919,у доски
сломанный маркер,8,158,на подоконнике
антикварный пакет загадок,17,357,у доски
локальный дрон наблюдения за лекцией,7,2381,внутри вентиляции
локальный карта несуществующих аудиторий,8,1183,в коробке на подоконнике
магнитный ноутбук-призрак,4,3434,за занавеской
депрессивный кабель HDMI-невидимка,14,3631,в коробке на подоконнике
магнитный дрон наблюдения за лекцией,2,543,под потолком
резиновый кресло,7,2879,у доски
квантовый плакат мотивации,14,4493,в шкафу
резиновый плакат мотивации,3,2381,в коробке на подоконнике
сломанный кресло,18,4608,под столом
шумящий забытый бутерброд,14,864,в коробке на подоконнике
оптимистичный ноутбук-призрак,2,4043,в шкафу
оптимистичный проектор,9,3204,в коробке на подоконнике
локальный стул-неврастеник,5,2436,у доски
сломанный ноутбук-призрак,19,2530,
самообновляющийся доска,2,4541,под столом
университетский пульт управления хаосом,17,4885,в шкафу
антикварный коробка с голосами,6,565,на подоконнике
резиновый маркер,13,4974,на подоконнике
сломанный забытый бутерброд,20,4766,на подоконнике
университетский дрон наблюдения за лекцией,11,3534,в углу аудитории
самообновляющийся дрон наблюдения за лекцией,8,1773,в углу аудитории
голографический стол,15,3342,рядом с розеткой
хаотический проектор,20,694,на кафедре
забытый маркер,17,919,в углу аудитории
антикварный кабель HDMI-невидимка,8,1185,рядом с розеткой
хаотический лампа,18,2434,
университетский соковыжималка идей,1,2578,за занавеской
магнитный учебник по квантовой философии,5,4643,в углу аудитории
квантовый кресло,9,1045,в углу аудитории
самообновляющийся ноутбук-призрак,7,5054,за занавеской
университетский робот-ассистент,16,5295,в углу аудитории
депрессивный маркер,9,516,под столом
квантовый пакет загадок,9,129,в шкафу
депрессивный микрофон-невидимка,18,3719,под столом
квантовый маркер,18,1016,под столом
квантовый бутылка времени,14,3124,в шкафу
параллельный учебник по квантовой философии,2,442,рядом с розеткой
резиновый дрон наблюдения за лекцией,4,1820,рядом с розеткой
квантовый стул-неврастеник,8,4686,в шкафу
сингулярный стул-неврастеник,6,1550,
резиновый стул-неврастеник,9,2821,в шкафу
